ID,Name,Address,Type
C790215,PALISADE GARDENS APT. CORP.,"150 GLENWOOD AVE., YONKERS, NY, 10703",COOPERATIVE
C810660,315 WEST 86TH STREET,"315 WEST 86TH STREET, NEW YORK, NY, 10024",COOPERATIVE
C840200,72-17 34TH AVENUE,"72-17 34TH AVENUE, JACKSON HEIGHTS, NY, 11372",COOPERATIVE
C860147,515 EDGECOMBE AVE,"515 EDGECOMBE AVENUE, NEW YORK, NY, 10032",COOPERATIVE
C870029,666 - 670 N TERRACE AVE,"666 - 670 N TERRACE AVE, MT VERNON, NY",COOPERATIVE
C870394,PARKWOOD ESTATES *CPS-5/09-0030**,"71ST AVENUE,72ND AVE.,71ST RD. & 252ND ST., FLORAL PARK, NY, 11426",COOPERATIVE
C870617,1350 OCEAN PARKWAY/PARKWAY GARDENS,"1350 OCEAN PARKWAY, BROOKLYN, NY, 11230",COOPERATIVE
C880145,2199 HOLLAND AVENUE,"2199 HOLLAND AVENUE, BRONX, NY, 10462",COOPERATIVE
C880333,257 WEST 21ST STREET* **CPS-5/08-0022**,"257 WEST 21ST STREET, NEW YORK, NY, 10011",COOPERATIVE
CD870039,SPAULDING ESTATES CONDOMINIUM,"4961 - 4997 HENRY HUDSON PARKWAY, BRONX, NY, 10471",CONDOMINIUM
CD870526,ALICE TOWER V CONDOMINIUM,"35-28 UNION STREET, FLUSHING, NY, 11354",CONDOMINIUM
H890042,WILLOW SPRINGS ESTATES HOA (CPS-1),"ROOSEVELT AVE., COUNTY RD 53, WOODRIDGE, NY, 11706",HOMEOWNERS ASSOCIATION
NY810033,40 TIEMAN PLACE,"40 TIEMAN PLACE, NEW YORK, NY, 10027",COOPERATIVE
T820018,VILLAS AT TREE TOPS,"TREE TOPS AT FERNWOOD RESORT, BUSHKILL, PA, 18324",OTHER
T960001,MANHATTAN CLUB (THE),"200 W. 56TH ST, NEW YORK, NY, 10019",OTHER
C800073,220 EAST 31 STREET,"220 EAST 31 STREET, NEW YORK, NY, 10016",COOPERATIVE
C800203,234 OWNERS CORPORATION,"234 E. 35TH ST, NEW YORK, NY, 10016",COOPERATIVE
C810074,9 PIERREPONT ST. HOUSING CORP.,"9 PIERREPONT ST., BROOKLYN, NY, 11201",COOPERATIVE
C820199,18 EAST 17TH STREET OWNERS INC,"18 EAST 17TH STREET, NEW YORK, NY, 10003",COOPERATIVE
C870176,144-44 41ST AVENUE,"144-44 41ST AVENUE, FLUSHING, NY, 11355",COOPERATIVE
C870364,FAIRVIEW TOWNHOUSES (RS-3 FILED 10/27/87),"JERUSALEM AVENUE, N. MERRICK, NY, 11566",COOPERATIVE
C870506,42-10 82ND STREET (CHANGED TO CC-87-0054),"42-10 82ND STREET, ELMHURST, NY",COOPERATIVE
CD810004,CONSTITUTION HILL CONDO.,"CONSTITUTION HILL, PRINCETON, NJ, 99999",CONDOMINIUM
CD840030,WESTAGE TOWERS WEST CONDO **CPS-5#91-006)***,"COTTAGE PLACE, WHITE PLAINS, NY, 10601",CONDOMINIUM
CD880369,PROSPECT 17TH DEVELOP OWNERS,"468 17TH STREET & 471 18TH STREET, BROOKLYN, NY, 11215",CONDOMINIUM
CD890228,HAMPTON PLACE CONDOMINIUM  III,"SOUTH SIDE WILLIAM ROAD, NORTH GREENBUSH, NY",CONDOMINIUM
H700016,VILLAGE GREENS RESIDENTS ASSOCIATION,"VILLAGE GREEN, STATEN ISLAND, NY",HOMEOWNERS ASSOCIATION
H710015,BRISTOL HARBOUR VILLAGE HOA,"SENECA POINT RD, SOUTH BRISTOL, NY, 14424",HOMEOWNERS ASSOCIATION
H860046,SUGAR BUSH SUBDIVISION,"ATLANTIC AVENUE, PENFIELD, NY, 14526",HOMEOWNERS ASSOCIATION
H920061,MALVERN (CPS-1),"9749-9765 MALVERN DRIVE, TAMARAC, FL, 33321",HOMEOWNERS ASSOCIATION
C830046,SUNSTONE MOTEL,"WEST LAKE DRIVE, MONTAUK, NY, 11954",COOPERATIVE
C850424,346-352 WEST 56TH STREET,"346-352 WEST 56TH STREET, NEW YORK, NY, 10019",COOPERATIVE
C870013,257-61 WEST 15TH STREET,"257-61 WEST 15TH STREET, NEW YORK, NY, 10003",COOPERATIVE
C880338,100 RANDALL AVENUE,"100 RANDALL AVENUE, FREEPORT, NY, 11520",COOPERATIVE
